Neuron_ID,Cell Type
interneuron_81,Candelabrum Cell
pc_21,Purkinje Cell
pc_3,Purkinje Cell
interneuron_315,MLI1
interneuron_350,MLI1
interneuron_317,MLI 2
interneuron_130,MLI 1
interneuron_8,MLI 1
interneuron_21,MLI 1
interneuron_102,MLI 1
interneuron_191,MLI 2
interneuron_95,MLI 2
interneuron_256,MLI 2
interneuron_179,MLI 2
pcl_16,MLI 1
interneuron_180,MLI 1
interneuron_226,MLI 1
interneuron_311,MLI 1
interneuron_316,MLI 1
interneuron_173,MLI 2
interneuron_189,MLI 1
interneuron_227,MLI 1
interneuron_223,MLI 1
interneuron_349,MLI 1
not in database,MLI 1
interneuron_216,MLI 2
interneuron_109,MLI 1
interneuron_97,MLI 2
interneuron_108,MLI 1
interneuron_214,MLI 1
interneuron_307,MLI 1
interneuron_312,MLI 1
interneuron_331,MLI 2
interneuron_172,MLI 1
interneuron_80,MLI 1
interneuron_106,MLI 1
interneuron_98,MLI 1
interneuron_22,MLI 2
interneuron_104,MLI 1
interneuron_64,MLI 1
interneuron_91,MLI 1
interneuron_129,MLI 1
interneuron_215,MLI 1
interneuron_54,MLI 1
interneuron_61,MLI 2
interneuron_96,MLI 1
interneuron_355,MLI 1
interneuron_232,MLI 1
interneuron_209,MLI 1
interneuron_218,MLI 2
interneuron_320,MLI 1
interneuron_337,MLI 1
interneuron_326,MLI 2
interneuron_327,MLI 2
interneuron_305,MLI 2
interneuron_110,MLI 1
interneuron_149,MLI 1
interneuron_147,MLI 1
interneuron_201,MLI 1
interneuron_304,MLI 1
interneuron_181,MLI 1
interneuron_217,MLI 1
interneuron_85,MLI 2
interneuron_188,MLI 1
interneuron_99,MLI 2
interneuron_184,MLI 1
interneuron_105,MLI 1
interneuron_68,MLI 2
interneuron_225,MLI 1
interneuron_241,MLI 1
interneuron_134,MLI 2
interneuron_60,MLI 1
interneuron_32,MLI 2
interneuron_30,MLI 2
interneuron_100,MLI 1
interneuron_131,MLI 2
interneuron_208,MLI 1
interneuron_55,MLI 1
interneuron_124,MLI 1
Interneuron_120,MLI 1
Interneuron_174,MLI 1
Interneuron_56,MLI 2
Interneuron_58,MLI 1
interneuron_123,MLI 1
interneuron_126,MLI 1
interneuron_127,MLI 1
interneuron_6,MLI 1
interneuron_128,MLI 1
interneuron_88,MLI 1
interneuron_89,MLI 1
interneuron_59,MLI 1
interneuron_122,MLI 1
interneuron_66,MLI 1
interneuron_94,MLI 1
interneuron_142,MLI 1
Interneuron_156,MLI 2
Interneuron_67,MLI 1
interneuron_144,MLI 1
Interneuron_161,MLI 1
Interneuron_162,MLI 1
Interneuron_52,MLI 2
Interneuron_157,MLI 1
Interneuron_259,MLI 1
interneuron_253,MLI 2
interneuron_233,MLI 1
interneuron_167,MLI 1
interneuron_165,MLI 1
interneuron_168,MLI 1
interneuron_169,MLI 1
interneuron_251,MLI 1
interneuron_237,MLI 1
interneuron_166,MLI 1
interneuron_257,MLI 1
Interneuron_260,MLI 1
interneuron_87,MLI 2
interneuron_38,MLI 2
interneuron_202,MLI 1
interneuron_221,MLI 1
interneuron_205,MLI 2
interneuron_314,MLI 1
interneuron_155,MLI 1
interneuron_133,MLI 1
interneuron_153,MLI 2
interneuron_112,MLI 1
interneuron_200,MLI 1
interneuron_332,MLI 2
interneuron_222,MLI 1
interneuron_220,MLI 1
interneuron_338,MLI 1
interneuron_185,MLI 1
interneuron_186,MLI 2
interneuron_187,MLI 1
interneuron_115,MLI 1
interneuron_65,MLI 1
interneuron_114,MLI 1
interneuron_150,MLI 1
interneuron_28,MLI 1
interneuron_87,MLI 2
interneuron_252,MLI 1
interneuron_220,MLI 1
interneuron_193,MLI 1
interneuron_116,MLI 1
interneuron_177,MLI 1
interneuron_117,MLI 1
interneuron_160,MLI 1
interneuron_33,MLI 2
interneuron_34,MLI 1
interneuron_211,MLI 1
interneuron_204,MLI1
interneuron_207,MLI1
interneuron_351,MLI1
interneuron_343,MLI1
interneuron_329,MLI1
interneuron_318,MLI1
interneuron_27,MLI1
interneuron_344,MLI1
interneuron_190,MLI1
interneuron_246,MLI2
interneuron_339,MLI2
interneuron_319,MLI2
interneuron_250,MLI1
interneuron_265,MLI2
interneuron_155,MLI1
interneuron_243,MLI2
interneuron_264,MLI1
interneuron_40,MLI1
interneuron_151,MLI1
interneuron_101,MLI1
interneuron_119,MLI1
interneuron_27,MLI1
interneuron_328,MLI1
interneuron_248,MLI1
interneuron_143,MLI1
interneuron_36,MLI2
interneuron_341,MLI1
interneuron_198,MLI1
interneuron_322,MLI1
interneuron_178,MLI1
interneuron_170,MLI1
interneuron_342,MLI1
interneuron_340,MLI1
interneuron_274,MLI1
pc_23,Purkinje Cell
interneuron_230,Candelabrum Cell
pcl_8,PCL Interneuron
grc_4393,Candelabrum Cell
mli1_3000,Unknown MLI
pc_301,Purkinje Cell
mli_3002,Unknown MLI
grc_4449,Purkinje Cell
interneuron_258,MLI1
interneuron_298,MLI1
interneuron_276,MLI1
interneuron_299 axon,MLI1
interneuron_38,MLI2
interneuron_269,MLI2
interneuron_284,MLI2
interneuron_43,MLI1
interneuron_140,MLI1
MLI1_0,MLI1
